species,rep,days_to_dead
HESCOM,2,11
HESCOM,3,11
HESCOM,4,11
HESCOM,5,12
HESCOM,6,12
HESCOM,7,17
HESCOM,8,17
HESCOM,9,12
HESCOM,10,17
KRALAN,1,11
KRALAN,2,11
KRALAN,3,11
KRALAN,4,11
KRALAN,5,11
KRALAN,6,16
KRALAN,7,11
KRALAN,9,12
KRALAN,10,16
LEYCIN,1,18
LEYCIN,2,17
LEYCIN,3,18
LEYCIN,4,17
LEYCIN,5,16
LEYCIN,6,17
LEYCIN,7,17
LEYCIN,8,21
LEYCIN,9,17
LEYCIN,10,11
LEYTRI,1,12
LEYTRI,3,12
LEYTRI,5,12
LEYTRI,6,12
LEYTRI,7,11
LEYTRI,8,13
LEYTRI,9,13
LEYTRI,10,13
LINLEW,1,9
LINLEW,2,11
LINLEW,3,13
LINLEW,4,11
LINLEW,5,16
LINLEW,6,18
LINLEW,7,11
LINLEW,8,16
LINLEW,9,16
LINLEW,10,16
LOMDIS,1,11
LOMDIS,2,9
LOMDIS,7,8
LOMDIS,8,11
LOMMAC,1,12
LOMMAC,2,12
LOMMAC,3,11
LOMMAC,4,11
LOMMAC,8,10
LOMMAC,9,16
LUPARG,1,13
LUPARG,2,13
LUPARG,4,13
LUPARG,5,12
LUPARG,6,11
LUPARG,7,14
LUPARG,8,15
LUPARG,9,12
LUPARG,10,12
MACCAN,1,10
MACCAN,2,11
MACCAN,3,11
MACCAN,4,16
MACCAN,6,16
MACCAN,7,16
MACCAN,8,8
MACCAN,9,11
MACCAN,10,11
PASSMI,1,21
PASSMI,2,18
PASSMI,3,13
PASSMI,4,16
PASSMI,5,12
PASSMI,6,18
PASSMI,7,11
PASSMI,8,14
PASSMI,9,14
PENPAL,4,10
PENPAL,7,11
PENPAL,8,9
PENPAL,9,10
PHAHAS,1,11
PHAHAS,2,15
PHAHAS,3,13
PHAHAS,4,17
PHAHAS,5,17
PHAHAS,6,14
PHAHAS,7,16
PHAHAS,8,16
PHAHAS,9,16
PHAHAS,10,16
PLEJAM,1,11
PLEJAM,2,18
PLEJAM,3,15
PLEJAM,4,15
PLEJAM,5,16
PLEJAM,6,11
PLEJAM,7,21
PLEJAM,8,21
PLEJAM,9,11
PLEJAM,10,13
POASEC,1,18
POASEC,2,12
POASEC,3,11
POASEC,4,11
POASEC,5,11
POASEC,6,12
POASEC,7,11
POASEC,8,13
POASEC,9,11
POASEC,10,12
PSESPI,1,21
PSESPI,2,13
PSESPI,4,12
PSESPI,5,11
PSESPI,7,12
PSESPI,8,21
PSESPI,9,12
PSESPI,10,13
SENCOV,1,11
SENCOV,2,17
SENCOV,3,12
SENCOV,4,11
SENCOV,5,10
SENCOV,6,16
SENCOV,7,11
SENCOV,8,15
SENCOV,9,15
SENCOV,10,11
SPHGRO,1,10
SPHGRO,2,9
SPHGRO,3,11
SPHGRO,4,9
SPHGRO,5,11
SPHGRO,7,10
SPHGRO,8,11
SPHGRO,9,10
SPHGRO,10,9
SPHMUN,3,11
SPHMUN,4,11
SPHMUN,5,10
SPHMUN,7,11
SPHMUN,8,11
SPHMUN,9,9
SPHMUN,10,11
SPOAIR,1,12
SPOAIR,2,11
SPOAIR,3,11
SPOAIR,5,12
SPOAIR,6,11
SPOAIR,7,11
SPOAIR,8,11
SPOAIR,9,11
SPOAIR,10,11
SPOCRY,3,9
SPOCRY,4,9
SPOCRY,6,11
SPOCRY,7,11
SPOCRY,8,11
SPOCRY,9,11
